##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ERR550643_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	503810
Total Bases	118.6 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	66
>>END_MODULE
>>Adapter Content	pass
#Position	Illumina Universal Adapter	Illumina Small RNA 3' Adapter	Illumina Small RNA 5' Adapter	Nextera Transposase Sequence	PolyA	PolyG
1	0.0	0.0	0.0	0.0	0.0	5.954625751771501E-4
2	0.0	0.0	0.0	0.0	0.0	5.954625751771501E-4
3	0.0	0.0	0.0	0.0	0.0	5.954625751771501E-4
4	0.0	0.0	0.0	0.0	0.0	5.954625751771501E-4
5	0.0	0.0	0.0	0.0	0.0	5.954625751771501E-4
6	0.0	0.0	0.0	0.0	0.0	7.939501002362002E-4
7	0.0	0.0	0.0	0.0	0.0	7.939501002362002E-4
8	0.0	0.0	0.0	0.0	0.0	7.939501002362002E-4
9	0.0	0.0	0.0	0.0	0.0	7.939501002362002E-4
10-14	0.0	3.969750501181001E-5	0.0	0.0	0.0	9.924376252952501E-4
15-19	0.0	3.1758004009448007E-4	3.9697505011810003E-4	0.0	7.939501002362002E-5	9.924376252952501E-4
20-24	0.0	3.9697505011810003E-4	3.9697505011810003E-4	3.969750501181001E-5	1.9848752505905002E-4	0.00107183263531887
25-29	0.0	3.9697505011810003E-4	5.954625751771501E-4	1.9848752505905002E-4	1.9848752505905002E-4	0.0017466902205196405
30-34	0.0	3.9697505011810003E-4	5.954625751771501E-4	1.9848752505905002E-4	1.9848752505905002E-4	0.0030964053909211804
35-39	0.0	3.9697505011810003E-4	7.939501002362001E-4	1.9848752505905002E-4	1.9848752505905002E-4	0.004843095611440821
40-44	0.0	3.9697505011810003E-4	9.130426152716302E-4	1.9848752505905002E-4	1.9848752505905002E-4	0.00623250828685417
45-49	0.0	3.9697505011810003E-4	0.00115122764534249	1.9848752505905002E-4	2.7788253508267003E-4	0.010281653798058791
50-54	0.0	3.9697505011810003E-4	0.0015085051904487805	1.9848752505905002E-4	4.763700601417201E-4	0.016395069569877532
55-59	0.0	3.9697505011810003E-4	0.0017863877255314506	1.9848752505905002E-4	7.939501002362001E-4	0.026517933347889083
60-64	0.0	3.9697505011810003E-4	0.0018260852305432603	1.9848752505905002E-4	0.00127032016037792	0.03771262976121951
65-69	0.0	3.9697505011810003E-4	0.0020245727556023104	1.9848752505905002E-4	0.002024572755602311	0.04910581369960898
70-74	0.0	3.9697505011810003E-4	0.0021833627756495506	1.9848752505905002E-4	0.0021833627756495506	0.06208689783847086
75-79	0.0	3.9697505011810003E-4	0.0021833627756495506	1.9848752505905002E-4	0.0023421527956967907	0.07649709215775788
80-84	0.0	4.366725551299101E-4	0.0022627577856731704	1.9848752505905002E-4	0.0030170103808975605	0.09352732180782437
85-89	0.0	5.954625751771501E-4	0.0024612453107322207	1.9848752505905002E-4	0.004287330541275481	0.11297909926361127
90-94	0.0	5.954625751771501E-4	0.0025803378257676507	1.9848752505905002E-4	0.004922490621464441	0.13624183720053193
95-99	0.0	7.145550902125802E-4	0.0025803378257676507	1.9848752505905002E-4	0.005041583136499871	0.1634743256386336
100-104	0.0	9.924376252952501E-4	0.0027391278458148904	1.9848752505905002E-4	0.00559734820666521	0.19300926936742027
105-109	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.0061531132768305515	0.22226633056112424
110-114	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.006708878346995892	0.2595422877672139
115-119	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.0073440384271848515	0.29816796014370495
120-124	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.007423433437208473	0.3334590420992041
125-129	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.007542525952243901	0.3682340564895496
130-134	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.007621920962267522	0.4080903515214069
135-139	0.0	9.924376252952501E-4	0.0027788253508267005	1.9848752505905002E-4	0.00813798852742105	0.4478672515432405
140-144	0.0	0.00115122764534249	0.0027788253508267005	1.9848752505905002E-4	0.008931938627657251	0.49606002262757787
145-149	0.0	0.0011909251503543002	0.0028185228558385107	1.9848752505905002E-4	0.010043468767987932	0.5442527937119153
150-154	0.0	0.0011909251503543002	0.0029773128758857504	1.9848752505905002E-4	0.011154998908318612	0.6002262757785672
155-159	0.0	0.0013894126754133503	0.0029773128758857504	1.9848752505905002E-4	0.012465016573708344	0.6639804688275341
